trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
31,False,"{'a': 0.45, 'e': 0.628135105189641}",20,10,-5.186463888706225,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
32,False,"{'a': 0.45, 'e': 0.6089616410728971}",25,6,-8.850926165796587,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
33,False,"{'a': 0.45, 'e': 0.5897833576128506}",20,0,-54.96757847441359,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.45, 'e': 0.5706381402943205}",30,0,-168.81142702371764,"{0: 21, 1: 1, 2: 3, 3: 2, 4: 3}",1
35,False,"{'a': 0.45, 'e': 0.5515625658678299}",20,5,-40.25152464451909,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
36,False,"{'a': 0.45, 'e': 0.5325918010068973}",20,9,-25.253722263236423,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
37,False,"{'a': 0.45, 'e': 0.5137595112299985}",25,7,-28.002870123646172,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
38,False,"{'a': 0.45, 'e': 0.49509778028094364}",25,9,14.934194394718169,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.45, 'e': 0.4766370400829722}",20,14,-1.6542894343222534,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.45, 'e': 0.45840601130522374}",25,11,0.3139644783517279,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.45, 'e': 0.4404316545059994}",25,10,3.9177360132736236,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.45, 'e': 0.422739131745963}",25,13,0.927809428195645,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.45, 'e': 0.40535177849665416}",25,13,-12.684815562145815,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
44,False,"{'a': 0.45, 'e': 0.38829108560587305}",35,17,-6.079335955630224,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.45, 'e': 0.37157669102204577}",25,17,9.638793864550205,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.45, 'e': 0.3552263809249516}",20,0,10.186058873891215,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.45, 'e': 0.33925609986047206}",35,25,10.887860963242058,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.45, 'e': 0.32367996943253685}",20,7,-4.32447405310275,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.45, 'e': 0.30851031506636484}",25,1,-71.43580888215688,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 2}",1
50,False,"{'a': 0.45, 'e': 0.29375770032353293}",20,3,-10.126697629274695,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.45, 'e': 0.27943096822140745}",30,0,-23.177308387460783,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",1
52,False,"{'a': 0.45, 'e': 0.26553728898702794}",25,14,-5.254492680398443,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.45, 'e': 0.25208221365858813}",30,14,2.420049755817355,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.45, 'e': 0.23906973293609718}",20,14,0.1576105739252016,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.45, 'e': 0.2265023406764689}",20,9,-48.1705851483833,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
56,False,"{'a': 0.45, 'e': 0.21438110142697805}",20,0,12.715584525471705,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
57,False,"{'a': 0.45, 'e': 0.20270572139449622}",35,25,16.84945688564451,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.45, 'e': 0.19147462225590392}",20,0,28.598334205384774,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.45, 'e': 0.1806850172272646}",20,16,6.725694163578941,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.45, 'e': 0.1703329888254095}",20,12,16.319116826073746,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.45, 'e': 0.16041356777517285}",20,1,8.392051957174912,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.45, 'e': 0.1509208125382666}",35,25,22.227895713811904,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
